	GSM461182_untreat_single.counts	GSM461177_untreat_paired.counts	GSM461176_untreat_single.counts	GSM461178_untreat_paired.counts	GSM461181_treat_paired.counts	GSM461180_treat_paired.counts	GSM461179_treat_single.counts
FBgn0037223	55.2526239774467	52.603112130851	65.2633163729841	46.6236067051222	16.5623496306685	13.4579064398869	9.29190877265921
FBgn0037290	39.2907548284066	23.3791609470449	22.7321663771068	18.1945782263891	187.706629147577	188.410690158417	233.84637077859
FBgn0000071	100.682559247792	156.640378345201	134.926406883473	177.397137707294	1048.0286794073	908.408684692367	750.321633392231
FBgn0037646	84.7206900987516	74.8133150305437	116.594014643871	100.07018024514	18.4026107007428	14.5793986432108	10.8405602347691
FBgn0037678	22.1010495909787	36.2376994679196	24.198757756275	12.5087725306425	91.092922968677	111.027728129067	58.848755560175
FBgn0261552	10844.2483326402	13444.1865025982	16378.1592268607	10722.2923810389	2908.5326212524	3143.54264591692	4884.44671149452
FBgn0002868	315.55387471564	154.302462250496	298.451345660725	184.22010454219	48.7669183569685	40.3737193196608	65.8176871396694
FBgn0037754	809.143982247498	519.017373024397	629.900997352735	461.687422494624	103.05461992416	109.906235925743	128.538071355119
FBgn0265276	89.6320344523025	118.064762782577	132.726519814721	88.698568853647	340.448297963742	355.513028453679	447.560272549752
FBgn0038149	995.775067682429	1002.96600462823	970.883493009337	1078.02875991356	2436.50565677835	2074.76057614923	1942.00893348578
FBgn0038198	42.9742630935697	44.4204057993853	32.2650103417	15.9202559480905	204.268978778245	161.494877278643	145.573237438328
FBgn0038237	34.3794104748557	74.8133150305437	98.9949180938523	53.4465735400181	7.36104428029713	10.0934298299152	24.7784233937579
FBgn0038261	23.3288856793664	33.8997833732151	16.13250517085	20.4689005046878	73.6104428029713	87.476391859265	54.9771269049003
FBgn0263041	327.832235599517	174.174749055485	159.125164639748	255.861256308597	67.1695290577113	71.7755010127302	75.8839216433836
FBgn0063649	1204.50720270834	1187.66137610988	1113.87615247824	958.626840302878	447.183440028051	478.877170819309	488.599536295663
FBgn0038528	142.428986252974	144.950797871678	118.793901712623	143.282303532814	367.132083479819	297.195433880836	402.649380148566
FBgn0038832	895.092508434637	580.972149534066	613.768492181885	612.929854001484	112.255925274531	98.6913138925041	95.2420649197569
FBgn0039109	977.357526356613	917.632067171513	853.556182675882	835.813437274751	380.013910970339	327.475723370582	353.866859092105
FBgn0039155	1980.49961056937	1716.0304135131	1787.04159551643	1894.51045782277	94.7734451088256	74.018485419378	61.9460584843947
FBgn0039178	6.13918044193852	7.01374828411347	12.4660267229296	9.09728911319457	31.2844381912628	61.682071182815	37.1676350906368
FBgn0039257	1123.47002087475	1074.27244551671	1198.20515678041	966.586968276923	534.595840856579	494.578061665844	500.214422261488
FBgn0051092	92.0877066290779	91.1787276934751	87.995482750091	78.4641186013031	444.423048422939	459.811803362803	360.061464940544
FBgn0002609	119.100100573607	79.4891472199527	77.7293430959137	72.7783129055565	23.9233939109657	26.9158128797738	36.3933093595819
FBgn0039419	3553.35763979402	3641.30431750224	3615.14774964957	3284.12136986324	1551.34008207262	1489.34164601415	1636.92459545013
FBgn0026562	77282.4590752989	115638.005876274	75561.7210375031	129054.143359778	23324.3889326565	21424.9870523	13518.178612757
FBgn0039464	656.892307287422	902.435612555934	766.293995615376	932.472134102443	2010.48521905615	1986.16269208664	1379.84845273989
FBgn0039479	109.277411866506	163.654126629314	134.193111193889	154.653914924308	424.180176652122	440.746435906296	349.99523043683
FBgn0039485	52.7969518006713	42.0824897046808	52.7972896500546	54.5837346791674	118.696839019791	148.036970838756	137.829980127778
FBgn0039593	29.4680661213049	16.3654126629314	32.2650103417	40.9378010093756	119.616969554828	94.2053450792084	113.825882465075
FBgn0039640	116.644428396832	158.978294439905	164.991530156421	171.711332011547	38.6454824715599	53.8316257595477	47.233869594351
FBgn0024288	121.555772750383	164.823084676667	147.392433606402	153.516753785158	5.52078321022285	7.85044542326737	5.42028011738454
