	GSM461176_untreat_single.counts	GSM461177_untreat_paired.counts	GSM461178_untreat_paired.counts	GSM461182_untreat_single.counts	GSM461179_treat_single.counts	GSM461180_treat_paired.counts	GSM461181_treat_paired.counts
FBgn0039255	60.8635422354796	70.1374828411347	55.7208958183167	66.3031487729361	36.3933093595819	31.4017816930695	34.9649603314114
FBgn0039257	1198.20515678041	1074.27244551671	966.586968276923	1123.47002087475	500.214422261488	494.578061665844	534.595840856579
FBgn0039258	316.050442210743	310.942840595697	352.519953136289	365.895154339536	329.862761429402	427.28852946641	444.423048422939
FBgn0039259	140.059476710561	106.375182309054	136.459336697919	158.390855402014	163.382729252591	143.55100202546	128.8182749052
FBgn0015240	811.025032680005	884.90124184565	860.830982336036	891.409000169474	635.721425196101	722.240978940598	738.864819634825
FBgn0039260	1657.24825846005	1711.35458132369	1762.59976568145	1741.07157333377	1461.92698023172	1485.97716940418	1345.2308422243
FBgn0039261	1635.24938777252	1384.04632806506	1330.47853280471	1408.3279933807	1571.10690831046	1410.83719178148	1324.98797045348
FBgn0051115	9.53284396459319	12.8585385208747	28.429028478733	14.7340330606525	16.2608403521536	8.97193762659128	21.1630023058543
FBgn0045866	1876.50366964569	1906.57057523151	2471.05115537147	2707.37857489489	2359.37050252438	2626.5347401846	2644.45515769674
FBgn0259178	325.583286175337	288.732637696005	185.357265681339	320.465219069191	266.368051482897	225.419932868106	212.55015359358
FBgn0039264	5.13306982708864	7.01374828411347	11.3716113914932	6.13918044193852	6.19460584843947	4.48596881329564	4.60065267518571
FBgn0039265	843.290043021705	690.854205985177	781.229702595583	750.207850004888	878.085379016295	635.886079284657	690.097901277856
FBgn0039266	1419.6604550348	1109.34118693728	1138.29830028847	1186.08966138252	1554.07174222725	1271.77215856931	1234.81517801984
FBgn0051109	123.926971539711	100.530392072293	92.110052271095	117.87226448522	127.763745624064	96.4483294858562	111.335794739494
FBgn0051111	85.0622999917546	65.4616506517257	59.1323792357647	68.7588209497115	94.467739188702	57.1961023695194	51.5273099620799
FBgn0266719	926.885751634292	793.722514152175	769.85809120409	1016.64828118502	1098.76821236695	753.642760633667	674.455682182225
FBgn0039269	358.581592206621	404.459484383877	443.492844268235	417.46427005182	379.419608216918	327.475723370582	410.378218626565
FBgn0039270	194.323357739784	160.147252487258	172.848493150697	160.846527578789	143.250260245163	136.822048805517	144.460494000831
FBgn0011336	4278.78034872317	5526.83364788142	5506.13423576101	6403.16520094188	4927.03462670255	6108.76803150534	5890.67568530778
FBgn0039271	170.124599983509	101.699350119645	131.910692141321	133.83413363426	195.904409956898	111.027728129067	92.0130535037141
FBgn0039272	5.86636551667273	2.33791609470449	2.27432227829864	3.68350826516311	2.3229771931648	5.60746101661955	1.84026107007428
FBgn0039273	310.184076694071	287.563679648652	242.215322638805	347.47761301372	462.272461439796	376.821380316834	318.365165122851
FBgn0039274	345.382269794107	243.143273849267	300.210540735421	375.717843046638	294.243777800875	202.990088801628	235.553416969508
FBgn0004897	0.733295689584092	0	1.13716113914932	0	1.54865146210987	2.24298440664782	0
FBgn0004898	2.19988706875227	0	0	1.2278360883877	0.774325731054934	0	0
FBgn0053096	12.4660267229296	11.6895804735225	5.6858056957466	6.13918044193852	16.2608403521536	7.85044542326737	4.60065267518571
FBgn0053095	0	0	0	0	0	0	0
FBgn0266534	13.1993224125136	7.01374828411347	9.09728911319457	15.9618691490402	12.3892116968789	2.24298440664782	5.52078321022285
FBgn0054027	1.46659137916818	0	3.41148341744796	1.2278360883877	3.09730292421974	2.24298440664782	2.76039160511142
FBgn0039277	6.59966120625682	2.33791609470449	6.82296683489593	0	6.19460584843947	4.48596881329564	2.76039160511142
FBgn0051108	503.774138744271	541.22757592409	405.966526676308	459.210697057002	493.245490681993	368.970934893566	370.812605619968
FBgn0051510	406.979107719171	349.518456158321	235.392355803909	368.350826516311	411.16696319017	243.363808121288	264.997594090697
FBgn0046214	3192.03613675955	5737.24609640482	5345.79451514096	4722.25759593911	3764.77170438909	6962.22359823483	6852.21209442159
FBgn0039280	0	0	0	0	0	0	0
FBgn0260229	0	0	0	0	0	0	0
FBgn0259152	620.368153388141	886.070199893002	764.172285508344	817.738834866212	719.348604150034	696.446658264148	679.05633485741
FBgn0039282	5.86636551667273	0	1.13716113914932	2.45567217677541	3.87162865527467	4.48596881329564	5.52078321022285
FBgn0267767	0	0	2.27432227829864	0	1.54865146210987	1.12149220332391	0
FBgn0039283	1.46659137916818	0	2.27432227829864	0	2.3229771931648	2.24298440664782	0
FBgn0083946	1.46659137916818	0	0	0	0.774325731054934	0	0
FBgn0039286	3.66647844792046	1.16895804735225	0	3.68350826516311	0.774325731054934	0	0
FBgn0039288	0	0	1.13716113914932	0	0	0	0
FBgn0022800	87.995482750091	86.5028955040662	93.2472134102443	78.5815096568131	90.5961105334273	80.7474386393215	66.2493985226742
FBgn0039290	431.91116116503	495.638212077352	453.727294520579	647.06961858032	373.225002368478	428.410021669734	387.374955250637
FBgn0039291	140.792772400146	100.530392072293	93.2472134102443	139.973314076198	154.865146210987	74.018485419378	92.0130535037141
FBgn0051106	1.46659137916818	0	2.27432227829864	1.2278360883877	2.3229771931648	2.24298440664782	0
FBgn0051103	1.46659137916818	0	0	0	0.774325731054934	2.24298440664782	0
FBgn0039293	904.153585257185	824.115423383333	715.274356524923	935.611099351431	1000.42884452298	938.688974182112	810.635001367722
FBgn0039294	39.5979672375409	44.4204057993853	50.0350901225701	76.1258374800377	34.844657897472	35.8877505063651	49.6870488920056
FBgn0039296	672.432147348612	813.594800957163	849.459370944543	876.674967108821	1008.17210183352	903.922715879071	980.859150349593
FBgn0039297	12.4660267229296	7.01374828411347	26.1547062004344	6.13918044193852	10.8405602347691	11.2149220332391	16.5623496306685
FBgn0039298	0.733295689584092	0	0	0	0.774325731054934	0	0
FBgn0039299	0	0	0	0	0	0	0
FBgn0000158	13.9326181020977	7.01374828411347	4.54864455659728	9.82268870710164	10.8405602347691	11.2149220332391	7.36104428029713
FBgn0039300	21536.8944030848	15177.7512868216	17191.6021016594	18713.449823117	19071.642755883	15019.0235869138	15073.5784249785
FBgn0039301	291.851684454468	322.63242106922	390.046270728217	411.325089609881	302.761360842479	401.49420878996	397.496391136045
FBgn0039302	10566.0575912172	9936.14340249409	8527.57138248076	9347.5161408956	9505.62267443037	9928.57047602657	8619.78285222794
