	GSM461182_untreat_single.counts	GSM461177_untreat_paired.counts	GSM461176_untreat_single.counts	GSM461178_untreat_paired.counts	GSM461181_treat_paired.counts	GSM461180_treat_paired.counts	GSM461179_treat_single.counts
FBgn0085804	0	0	0	0	0	0	0
FBgn0267431	0	0	2.19988706875227	0	0	2.24298440664782	8.51758304160428
FBgn0039987	0	0	0	0	0	0	0
FBgn0058182	0	0	0	0	0	0	0
FBgn0267430	0	0	0	0	0	1.12149220332391	1.54865146210987
FBgn0266747	0	0	0	0	0	0	0
FBgn0086917	0	0	1.46659137916818	0	0	0	1.54865146210987
FBgn0010247	826.333687484925	400.95261024182	505.240730123439	324.090924657556	293.521640676848	439.624943702973	981.070701246602
FBgn0086378	1036.29365859922	493.300295982648	521.373235294289	590.186631218498	456.384745378422	586.540422338405	1061.60057727631
FBgn0263977	1296.59490933742	904.773528650638	1392.52851452019	956.352518024579	828.117481533427	1065.41759315771	1897.09804108459
FBgn0069923	28.2402300329172	5.84479023676123	20.5322793083546	12.5087725306425	13.8019580255571	20.1868596598304	41.8135894769664
FBgn0039955	1069.44523298569	666.30608699078	896.08733267176	546.974507930823	428.780829327308	519.25089013897	1067.0208573937
FBgn0259821	201.365118495584	176.512665150189	189.92358360228	142.145142393665	304.563207097294	348.784075233736	432.848083659708
FBgn0027341	11.0505247954893	15.1964546155792	17.5990965500182	14.7830948089412	15.6422190956314	13.4579064398869	32.5216807043072
FBgn0085812	0	4.67583218940898	2.93318275833637	0	1.84026107007428	1.12149220332391	1.54865146210987
FBgn0058198	63.8474765961607	56.1099862729078	57.9303594771432	48.8979289834208	30.3643076562257	40.3737193196608	54.9771269049003
FBgn0037213	755.119194358439	725.922947405744	600.569169769371	586.77514780105	1037.9072435219	893.829286049156	847.112349774098
FBgn0053294	90.8598705406902	74.8133150305437	118.060606023039	70.5039906272579	71.770181732897	34.7662583030412	145.573237438328
FBgn0000500	1.2278360883877	2.33791609470449	3.66647844792046	6.82296683489593	9.20130535037141	8.97193762659128	5.42028011738454
FBgn0037215	8006.71913237622	7460.29025820203	7071.90363034898	8043.14073720315	6565.13136749	6726.71023553681	6492.72125489562
FBgn0037217	62.6196405077729	107.544140356407	61.5968379250637	83.0127631579004	87.4124008285284	71.7755010127302	53.4284754427905
FBgn0037218	3394.966784392	3253.2102457813	3137.03896004074	3008.9283741891	3179.97112908836	3164.85099778007	2995.86625345154
FBgn0051516	28.2402300329172	21.0412448523404	24.9320534458591	25.0175450612851	22.0831328408914	26.9158128797738	18.5838175453184
FBgn0261436	1062.07821645536	1179.47866977842	977.483154215594	1230.40835255957	1202.61060929354	1037.38028807462	956.292277852844
FBgn0037220	2254.30705827983	2302.84735328392	2072.29361876464	2394.86135904847	2350.9335170199	2268.77872732427	1880.83720073244
FBgn0015331	1242.57012144836	1256.62990090366	1229.00357574294	1249.7400919251	1360.87306131993	1260.55723653607	1118.12635564333
FBgn0010225	20154.9293908842	22104.996675431	21654.2217134182	23903.1271449187	15345.9370633494	15854.5352783901	15409.0820479932
FBgn0037222	457.982860968614	566.944652965839	599.102578390203	567.443408435511	357.010647594411	282.616035237625	392.583145644852
FBgn0085334	44.2020991819574	77.1512311252482	145.19254653765	131.910692141321	35.8850908664485	38.1307349130129	52.6541497117355
FBgn0037223	55.2526239774467	52.603112130851	65.2633163729841	46.6236067051222	16.5623496306685	13.4579064398869	9.29190877265921
FBgn0037224	8.59485261871393	4.67583218940898	5.13306982708864	7.96012797404525	0	3.36447660997173	1.54865146210987
FBgn0037225	90.8598705406902	92.3476857408274	126.860154298048	118.264758471529	110.415664204457	114.392204739039	139.378631589888
FBgn0250821	73.6701653032623	50.2651960361466	82.8624129230023	92.110052271095	71.770181732897	82.9904230459693	82.078527491823
FBgn0037227	4.91134435355082	0	21.2655749979387	4.54864455659728	4.60065267518571	10.0934298299152	34.0703321664171
FBgn0041621	8.59485261871393	10.5206224261702	19.0656879291864	19.3317393655385	6.44091374525999	7.85044542326737	19.3581432763734
FBgn0037228	17475.7910460222	14804.8536697162	17971.6107603269	17368.9992393667	18326.2398663347	18497.8924016246	21474.3754993465
FBgn0037229	52.7969518006713	43.2514477520331	63.796724993816	63.681023792362	46.0065267518571	44.8596881329564	73.5609444502188
FBgn0267157	3.68350826516311	0	0.733295689584092	2.27432227829864	0	0	0.774325731054934
FBgn0041605	34.3794104748557	66.630608699078	86.5288913709228	52.3094124008688	78.211095478157	90.8408684692367	126.989419893009
FBgn0037230	11.0505247954893	21.0412448523404	19.7989836187705	15.9202559480905	19.32274123578	16.8223830498586	21.6811204695382
FBgn0262214	0	0	0	1.13716113914932	0.920130535037141	0	0.774325731054934
FBgn0027930	1797.5520333996	1682.13063013988	1728.3779403497	1804.67472782997	1997.60339156563	1963.73284802017	1797.98434750956
FBgn0037231	577.082961542221	763.329604921016	838.156973194617	818.756020187511	763.708344080827	674.01681419767	679.083666135177
FBgn0037232	440.793155731186	364.714910773901	360.048183585789	390.046270728217	327.566470473222	284.859019644273	377.096631023753
FBgn0261086	34.3794104748557	28.0549931364539	24.9320534458591	25.0175450612851	20.2428717708171	28.0373050830977	26.3270748558678
FBgn0037234	888.953327992698	881.394367703593	962.817240423912	782.366863734733	875.964269355359	896.072270455804	1071.66681178003
FBgn0027866	2719.65693577877	2911.87449595444	3083.5083747011	2842.9028478733	2534.03949349229	2628.77772459124	2840.2267815095
FBgn0037236	1666.17357194212	1419.11506948563	1455.59194382442	1488.54393114646	1420.68154609735	1368.22048805517	1598.98263462844
FBgn0040687	0	0	0	0	0	0	0
FBgn0037235	1369.03723855229	1022.83829143321	1229.00357574294	1175.8246178804	1180.52747645265	1050.8381945145	1329.51728022132
FBgn0261434	0	0	4.39977413750455	1.13716113914932	0.920130535037141	0	0.774325731054934
FBgn0037238	27.0123939445295	51.4341540834988	40.331262927125	28.429028478733	22.0831328408914	22.4298440664782	26.3270748558678
FBgn0266227	3.68350826516311	2.33791609470449	13.1993224125136	2.27432227829864	0	2.24298440664782	39.4906122838016
FBgn0037239	1356.75887766841	1392.22903439652	1366.12986969516	1514.6986373469	765.548605150902	815.324831816482	697.667483680496
FBgn0037240	1882.27272349835	2251.41319920042	2457.27385579629	1986.62051009386	2973.86188924004	2942.79554152194	3300.17626575613
FBgn0003882	1478.3146504188	1388.72216025447	1439.45943865357	1472.62367519837	1414.24063235209	1394.01480873162	1323.32267437288
FBgn0037241	960.167821119185	791.38459805747	833.023903367528	907.454589041158	952.335103763441	909.530176895691	844.789372580933
FBgn0086608	42.9742630935697	46.7583218940898	42.5311499958773	52.3094124008688	49.6870488920056	57.1961023695194	58.0744298291201
FBgn0267661	23.3288856793664	29.2239511838061	21.2655749979387	17.0574170872398	12.88182749052	13.4579064398869	24.004097662703
FBgn0037242	121.555772750383	121.571636924634	179.657443948102	122.813403028127	111.335794739494	118.878173552334	146.347563169383
FBgn0086605	855.80175360623	958.545598828841	920.286090428035	827.853309300706	785.791476921719	836.633183679637	868.019144512581
FBgn0037244	400.274564814392	395.107820005059	421.645021510853	466.236067051222	409.458088091528	412.709130823199	380.193933947973
FBgn0266697	4.91134435355082	7.01374828411347	10.2661396541773	6.82296683489593	11.9616969554828	0	7.74325731054934
FBgn0263594	15287.7871365153	16076.6800252354	16091.4406122333	16118.1219863025	16129.8882792011	16528.5520925878	17872.2121984789
FBgn0052944	55.2526239774467	30.3929092311584	41.7978543062932	29.5661896178823	25.76365498104	47.1026725396042	37.9419608216918
FBgn0051528	0	4.67583218940898	2.19988706875227	0	14.7220885605943	4.48596881329564	6.19460584843947
FBgn0037248	2979.95818651696	2700.29308938369	3173.70374451995	2532.45785688554	2105.25866416498	2244.10589885114	2607.92906219302
FBgn0051525	65.0753126845484	56.1099862729078	46.1976284437978	39.8006398702262	40.4857435416342	49.345656946252	67.3663386017793
FBgn0037249	13675.6383524623	15631.3070091942	11617.6036100808	15076.4823828417	14102.8407105143	14962.9489767476	11288.8948330499
FBgn0037250	327.832235599517	294.577427932766	343.182382725355	362.754403388633	323.885948333074	371.213919300214	340.703321664171
FBgn0037251	3.68350826516311	5.84479023676123	5.86636551667273	4.54864455659728	6.44091374525999	5.60746101661955	9.29190877265921
FBgn0264983	0	0	0	0	0	0	0
FBgn0037252	2609.15168782387	2716.65850204662	2675.06267560277	2465.36534967573	2719.90586156979	2715.13262424719	2350.85291948278
FBgn0051522	1098.913299107	1034.52787190674	1074.27818524069	888.12284967562	1175.92682377747	1115.88474230729	1116.57770418122
FBgn0263620	103.138231424567	106.375182309054	134.926406883473	115.990436193231	123.297491694977	155.887416262023	126.215094161954
FBgn0051523	10076.8507773979	7758.37456027685	9198.46113014284	7214.15026676329	4189.3543260241	4520.73507159868	5594.5034068719
FBgn0037254	8.59485261871393	16.3654126629314	10.2661396541773	6.82296683489593	9.20130535037141	8.97193762659128	13.1635374279339
