	GSM461182_untreat_single.counts	GSM461177_untreat_paired.counts	GSM461176_untreat_single.counts	GSM461178_untreat_paired.counts	GSM461181_treat_paired.counts	GSM461180_treat_paired.counts	GSM461179_treat_single.counts
FBgn0040099	465.569820	408.092225	911.458808	468.219647	-836.901222	-843.195536	-573.243741
FBgn0032004	935.401338	303.623913	169.122545	429.031420	-583.819965	-667.753365	-585.605886
FBgn0001137	410.414849	171.686641	140.466613	246.652319	-300.493153	-347.999959	-320.727309
FBgn0264437	-99.609622	-160.429851	-128.906714	-154.624386	-21.171446	23.097455	541.644564
FBgn0267252	70.843526	39.961045	91.292007	31.144087	-74.109814	-94.836767	-64.294084
FBgn0032405	-80.395673	-71.582513	-78.604839	-72.790796	114.029715	86.987170	102.356937
FBgn0053307	313.607208	198.765983	1123.842313	614.347888	-812.566199	-877.159490	-560.837703
FBgn0028939	-0.891783	15.170637	6.543691	41.190628	-20.546119	-21.494255	-19.972799
FBgn0260011	-91.254757	-87.352942	-95.841859	-65.818001	133.224247	145.235227	61.808085
FBgn0032598	-156.146829	-160.816741	-179.610264	-144.288970	219.009623	290.807651	131.045531
FBgn0000406	-94.809176	224.154260	190.785809	430.312669	-217.733133	-265.110547	-267.599882
FBgn0032638	167.150967	43.760031	38.161410	39.738565	-112.242959	-95.731302	-80.836712
