	GSM461182_untreat_single.counts	GSM461177_untreat_paired.counts	GSM461176_untreat_single.counts	GSM461178_untreat_paired.counts	GSM461181_treat_paired.counts	GSM461180_treat_paired.counts	GSM461179_treat_single.counts
FBgn0043364	0.180491	0.261365	1.846385	0.304283	-0.961563	-1.082658	-0.548303
FBgn0031322	0.442408	0.786472	0.560012	1.260272	-0.686016	-1.079137	-1.284011
FBgn0031327	-1.188858	-0.613013	-0.826545	-0.501986	0.998334	1.121441	1.010627
FBgn0031547	1.680200	0.060821	0.062914	0.868594	-0.969878	-0.962324	-0.740326
FBgn0031548	1.565042	0.496436	0.244841	0.596563	-0.883032	-1.195284	-0.824567
FBgn0020376	1.469483	0.525461	0.194841	0.728504	-0.724218	-1.276431	-0.917640
FBgn0031703	-0.090789	0.977837	0.865668	1.185143	-0.975321	-1.029315	-0.933223
FBgn0051642	-0.838521	-0.537259	-0.878935	-0.901990	0.929577	1.310996	0.916132
FBgn0259715	-0.491879	1.109514	0.612574	1.361660	-0.837672	-0.707729	-1.046468
FBgn0264343	-0.183467	-0.714698	-0.318451	-0.703521	-0.074983	-0.198961	2.194080
FBgn0031912	0.778750	1.110229	0.299408	0.901748	-0.900701	-0.936492	-1.252942
FBgn0040099	0.640187	0.561152	1.253311	0.643831	-1.150790	-1.159445	-0.788245
FBgn0032004	1.507696	0.489386	0.272595	0.691520	-0.941011	-1.076297	-0.943890
FBgn0001137	1.305758	0.546231	0.446902	0.784738	-0.956036	-1.107181	-1.020412
FBgn0264437	-0.400826	-0.645565	-0.518717	-0.622204	-0.085193	0.092943	2.179561
FBgn0267252	0.933717	0.526686	1.203228	0.410479	-0.976767	-1.249948	-0.847396
FBgn0032405	-0.846573	-0.753770	-0.827716	-0.766493	1.200743	0.915982	1.077827
FBgn0053307	0.409294	0.259413	1.466745	0.801796	-1.060494	-1.144795	-0.731959
FBgn0028939	-0.038297	0.651485	0.281011	1.768884	-0.882329	-0.923046	-0.857709
FBgn0260011	-0.832242	-0.796657	-0.874076	-0.600259	1.215003	1.324543	0.563689
FBgn0032598	-0.760366	-0.783106	-0.874622	-0.702623	1.066480	1.416104	0.638134
FBgn0000406	-0.338711	0.800804	0.681593	1.537316	-0.777864	-0.947122	-0.956016
FBgn0032638	1.655212	0.433334	0.377893	0.393511	-1.111486	-0.947979	-0.800485
